end_gy,peak_velocity,sd,end_gx,type,start_gy,mean_gx,end_time,start_gx,amplitude,blink_id,rms,duration,mean_gy,start_time,end_point
,,,,blink,,,624219.7739734999,,,397.0,,,,624219.6380875,
,,,,blink,,,624220.284533,,,398.0,,,,624220.110917,
,,,,blink,,,624221.497419,,,399.0,,,,624221.2580510001,
,,,,blink,,,624221.97954,,,400.0,,,,624221.7762035,
,,,,blink,,,624222.9350005,,,401.0,,,,624222.808372,
,,,,blink,,,624223.6902775001,,,402.0,,,,624223.5537365,
,,,,blink,,,624224.363471,,,403.0,,,,624224.2265165,
,,,,blink,,,624224.5354295,,,404.0,,,,624224.4300619999,
,,,,blink,,,624225.612187,,,405.0,,,,624225.468701,
,,,,blink,,,624226.1506904999,,,406.0,,,,624226.0028250001,
,,,,blink,,,624226.4692065,,,407.0,,,,624226.313187,
,,,,blink,,,624227.24774,,,408.0,,,,624227.056913,
,,,,blink,,,624228.418084,,,409.0,,,,624228.373613,
,,,,blink,,,624228.9701355,,,410.0,,,,624228.8201830001,
,,,,blink,,,624229.340753,,,411.0,,,,624229.1770424999,
,,,,blink,,,624229.547443,,,412.0,,,,624229.442099,
,,,,blink,,,624231.105702,,,413.0,,,,624231.0983875,
-50.29953477128714,451.0157180668101,,37.85794356770869,saccade,0.5383265883950642,,623736.3708333333,0.48541582191901,59.749194912650026,,,0.36666666666666664,,623736.0041666667,
