start_gx,end_gx,blink_id,end_time,end_gy,mean_gx,mean_gy,sd,duration,rms,start_time,type,start_gy,amplitude,peak_velocity,end_point
,,341.0,624159.4315595,,,,,,,624159.2773595001,blink,,,,
,,342.0,624160.43174,,,,,,,624160.2583425001,blink,,,,
,,343.0,624161.399294,,,,,,,624161.263667,blink,,,,
,,344.0,624162.895843,,,,,,,624162.7391949999,blink,,,,
,,345.0,624163.287991,,,,,,,624163.1270880001,blink,,,,
,,346.0,624164.915783,,,,,,,624164.765043,blink,,,,
,,347.0,624166.134821,,,,,,,624165.9671644999,blink,,,,
,,348.0,624167.20365,,,,,,,624167.0431895,blink,,,,
,,349.0,624168.768049,,,,,,,624168.609225,blink,,,,
,,350.0,624169.4778935,,,,,,,624169.329548,blink,,,,
,,351.0,624170.368923,,,,,,,624170.2132105,blink,,,,
,,352.0,624171.477492,,,,,,,624171.3257820001,blink,,,,
,,353.0,624172.555093,,,,,,,624172.4011075001,blink,,,,
,,354.0,624174.8324165,,,,,,,624174.6912545,blink,,,,
,,355.0,624175.370905,,,,,,,624175.2293324999,blink,,,,
,,356.0,624176.5709325001,,,,,,,624176.4257189999,blink,,,,
,,357.0,624177.754774,,,,,,,624177.5951765,blink,,,,
,,358.0,624178.424393,,,,,,,624178.2729344999,blink,,,,
,,359.0,624179.5368619999,,,,,,,624179.3746795,blink,,,,
,,360.0,624180.575784,,,,,,,624180.303906,blink,,,,
,,361.0,624182.8473365,,,,,,,624182.6978394999,blink,,,,
,,362.0,624184.632686,,,,,,,624184.4820185,blink,,,,
,,363.0,624185.1708869999,,,,,,,624185.0273094999,blink,,,,
,,364.0,624187.7515819999,,,,,,,624187.608635,blink,,,,
,,365.0,624187.97902,,,,,,,624187.8772195,blink,,,,
,,366.0,624188.1682875,,,,,,,624188.066692,blink,,,,
,,367.0,624189.512026,,,,,,,624189.3718514999,blink,,,,
,,368.0,624190.5615755001,,,,,,,624190.4151900001,blink,,,,
,,369.0,624191.211822,,,,,,,624191.067916,blink,,,,
,,370.0,624192.497012,,,,,,,624192.3369275,blink,,,,
,,371.0,624192.8966939999,,,,,,,624192.735815,blink,,,,
,,372.0,624194.57323,,,,,,,624194.4546675,blink,,,,
,,373.0,624195.058251,,,,,,,624194.9071755,blink,,,,
,,374.0,624195.827228,,,,,,,624195.6727229999,blink,,,,
,,375.0,624197.01842,,,,,,,624196.7674100001,blink,,,,
,,376.0,624197.389213,,,,,,,624197.247218,blink,,,,
,,377.0,624197.726759,,,,,,,624197.5795084999,blink,,,,
,,378.0,624197.875492,,,,,,,624197.79986,blink,,,,
,,379.0,624198.5548309999,,,,,,,624198.4101664999,blink,,,,
,,380.0,624200.173804,,,,,,,624199.9971815,blink,,,,
,,381.0,624200.407708,,,,,,,624200.321806,blink,,,,
,,382.0,624201.283934,,,,,,,624201.0468935,blink,,,,
,,383.0,624202.274581,,,,,,,624202.1306385,blink,,,,
,,384.0,624203.582816,,,,,,,624203.4437945,blink,,,,
,,385.0,624204.9293135,,,,,,,624204.7877055,blink,,,,
,,386.0,624206.2173329999,,,,,,,624206.0823794999,blink,,,,
,,387.0,624207.038328,,,,,,,624206.895851,blink,,,,
,,388.0,624207.3502044999,,,,,,,624207.2127575,blink,,,,
,,389.0,624208.2833245,,,,,,,624208.152727,blink,,,,
,,390.0,624208.951959,,,,,,,624208.8170235,blink,,,,
,,391.0,624210.4443585,,,,,,,624210.3066044999,blink,,,,
,,392.0,624211.958523,,,,,,,624211.77021,blink,,,,
,,393.0,624213.045936,,,,,,,624212.8648204999,blink,,,,
,,394.0,624214.6854379999,,,,,,,624214.542579,blink,,,,
,,395.0,624216.0763155,,,,,,,624215.9399194999,blink,,,,
,,396.0,624217.6646405,,,,,,,624217.5374109999,blink,,,,
,,397.0,624219.7739734999,,,,,,,624219.6380875,blink,,,,
,,398.0,624220.284533,,,,,,,624220.110917,blink,,,,
,,399.0,624221.497419,,,,,,,624221.2580510001,blink,,,,
,,400.0,624221.97954,,,,,,,624221.7762035,blink,,,,
,,401.0,624222.9350005,,,,,,,624222.808372,blink,,,,
,,402.0,624223.6902775001,,,,,,,624223.5537365,blink,,,,
,,403.0,624224.363471,,,,,,,624224.2265165,blink,,,,
,,404.0,624224.5354295,,,,,,,624224.4300619999,blink,,,,
,,405.0,624225.612187,,,,,,,624225.468701,blink,,,,
,,406.0,624226.1506904999,,,,,,,624226.0028250001,blink,,,,
,,407.0,624226.4692065,,,,,,,624226.313187,blink,,,,
,,408.0,624227.24774,,,,,,,624227.056913,blink,,,,
,,409.0,624228.418084,,,,,,,624228.373613,blink,,,,
,,410.0,624228.9701355,,,,,,,624228.8201830001,blink,,,,
,,411.0,624229.340753,,,,,,,624229.1770424999,blink,,,,
,,412.0,624229.547443,,,,,,,624229.442099,blink,,,,
,,413.0,624231.105702,,,,,,,624231.0983875,blink,,,,
0.48541582191901,37.85794356770869,,623736.3708333333,-50.29953477128714,,,,0.36666666666666664,,623736.0041666667,saccade,0.5383265883950642,59.749194912650026,451.0157180668101,
